added_at,track_name,artists,album,track_id,spotify_url
2020-03-13T13:03:53Z,POP,Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,61N12G2IDag927XDCmMDr8,https://open.spotify.com/track/61N12G2IDag927XDCmMDr8
2020-03-13T13:03:52Z,Silly Watch,Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,0eC75aBFF20CCmFeqd21QP,https://open.spotify.com/track/0eC75aBFF20CCmFeqd21QP
2020-03-13T13:03:51Z,Lo Mein,Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,6gWzuZHMKNtjLUsTPHCX10,https://open.spotify.com/track/6gWzuZHMKNtjLUsTPHCX10
2020-03-13T13:03:49Z,Baby Pluto,Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,0MBbqhCETOfzONwgSAtKpI,https://open.spotify.com/track/0MBbqhCETOfzONwgSAtKpI
2020-03-13T13:00:47Z,Leaders (feat. NAV),"Lil Uzi Vert, NAV",Eternal Atake (Deluxe) - LUV vs. The World 2,4D7NrSeqkTarBrJ80b2sBc,https://open.spotify.com/track/4D7NrSeqkTarBrJ80b2sBc
2020-03-13T13:00:45Z,Got The Guap (feat. Young Thug),"Lil Uzi Vert, Young Thug",Eternal Atake (Deluxe) - LUV vs. The World 2,1HF6P40Z7nfExGaB1Gk99v,https://open.spotify.com/track/1HF6P40Z7nfExGaB1Gk99v
2020-03-13T13:00:44Z,No Auto (feat. Lil Durk),"Lil Uzi Vert, Lil Durk",Eternal Atake (Deluxe) - LUV vs. The World 2,5erLs80hB2TbFWgSAbVQpe,https://open.spotify.com/track/5erLs80hB2TbFWgSAbVQpe
2020-03-13T13:00:44Z,Money Spread (feat. Young Nudy),"Lil Uzi Vert, Young Nudy",Eternal Atake (Deluxe) - LUV vs. The World 2,5tBdxqz8gauIO8Hh8qwo0H,https://open.spotify.com/track/5tBdxqz8gauIO8Hh8qwo0H
2020-03-13T13:00:42Z,Trap This Way (This Way),Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,7vTspUAmMKFkUpKL9HLZNL,https://open.spotify.com/track/7vTspUAmMKFkUpKL9HLZNL
2020-03-13T13:00:41Z,Come This Way,Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,2BjNjFJAQTxqUPGpOnrese,https://open.spotify.com/track/2BjNjFJAQTxqUPGpOnrese
2020-03-13T13:00:38Z,Moon Relate,Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,4sWGHlZGM1XA7TyWdtBAbA,https://open.spotify.com/track/4sWGHlZGM1XA7TyWdtBAbA
2020-03-13T13:00:35Z,I Can Show You,Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,0AhJag7VI8uFf3mJFsTwvf,https://open.spotify.com/track/0AhJag7VI8uFf3mJFsTwvf
2020-03-13T13:00:33Z,Strawberry Peels (feat. Young Thug & Gunna),"Lil Uzi Vert, Gunna, Young Thug",Eternal Atake (Deluxe) - LUV vs. The World 2,4lAQfuREAHG8IC0PiiigBt,https://open.spotify.com/track/4lAQfuREAHG8IC0PiiigBt
2020-03-13T13:00:31Z,Wassup (feat. Future),"Lil Uzi Vert, Future",Eternal Atake (Deluxe) - LUV vs. The World 2,19Ec2gbNtQTE44IizcPjtD,https://open.spotify.com/track/19Ec2gbNtQTE44IizcPjtD
2020-03-13T13:00:30Z,Yessirskiii,"Lil Uzi Vert, 21 Savage",Eternal Atake (Deluxe) - LUV vs. The World 2,59JWp4PjZ9TRM8cmtaDYB1,https://open.spotify.com/track/59JWp4PjZ9TRM8cmtaDYB1
2020-03-13T13:00:28Z,Lotus,Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,4SnlSaLJJ7reJMCHM5YUuX,https://open.spotify.com/track/4SnlSaLJJ7reJMCHM5YUuX
2020-03-13T13:00:27Z,Myron,Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,56uXDJRCuoS7abX3SkzHKQ,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
2020-03-12T20:42:25Z,Lo Mein,Lil Uzi Vert,Eternal Atake,6CUP2khYzdphXebxVTfPE3,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3
2020-03-08T01:33:55Z,I Get Luv,Sleepy Hallow,DON'T SLEEP,7LoHryKSypwGyBD2av1EMO,https://open.spotify.com/track/7LoHryKSypwGyBD2av1EMO
2020-03-06T19:13:13Z,Call Out My Name - A Cappella,The Weeknd,"My Dear Melancholy,",5PTfZsGlsDDPH8i3PdQnXJ,https://open.spotify.com/track/5PTfZsGlsDDPH8i3PdQnXJ
2020-03-06T19:13:12Z,Privilege,The Weeknd,"My Dear Melancholy,",0Nwar8rweBUyfyuoyjjUvk,https://open.spotify.com/track/0Nwar8rweBUyfyuoyjjUvk
2020-03-06T19:13:11Z,Hurt You,"The Weeknd, Gesaffelstein","My Dear Melancholy,",6QdnKD1zwEgyOWtkrdzlOF,https://open.spotify.com/track/6QdnKD1zwEgyOWtkrdzlOF
2020-03-06T19:13:10Z,I Was Never There,"The Weeknd, Gesaffelstein","My Dear Melancholy,",1cKHdTo9u0ZymJdPGSh6nq,https://open.spotify.com/track/1cKHdTo9u0ZymJdPGSh6nq
2020-03-06T19:13:09Z,Wasted Times,The Weeknd,"My Dear Melancholy,",7DKS0rX27cCEPsK0R6tFWS,https://open.spotify.com/track/7DKS0rX27cCEPsK0R6tFWS
2020-03-06T19:13:07Z,Try Me,The Weeknd,"My Dear Melancholy,",4ppTAJUbNXELZcoUaL90wo,https://open.spotify.com/track/4ppTAJUbNXELZcoUaL90wo
2020-03-06T19:13:06Z,Call Out My Name,The Weeknd,"My Dear Melancholy,",09mEdoA6zrmBPgTEN5qXmN,https://open.spotify.com/track/09mEdoA6zrmBPgTEN5qXmN
2020-03-06T19:12:11Z,Underwater FlyZone,Trippie Redd,LIFE'S A TRIP,1yQ2jDB77soMtb7Z5FQkRb,https://open.spotify.com/track/1yQ2jDB77soMtb7Z5FQkRb
